accessories	accessory
artistes	artist
ashes	ash
backsplashes	backsplash
benches	bench
benefits	benefit
bleaches	bleach
boxes	box
branches	branch
brushes	brush
bushes	bush
caddies	caddie
calories	calorie
canvas	canvas
capitals	capital
catches	catch
children	child
christmas	christmas
clothes	clothes
colore	colori
cookies	cookie
crosses	cross
degrees	degree
dishes	dish
dresses	dress
e-readers	e-reader
elemento	elementi
eyelashes	eyelash
feet	foot
fiberglasses	fiberglass
finishes	finish
gas	gas
gases	gas
genesis	genesis
gentlemen	gentleman
glasses	glass
gps	gps
grasses	grass
guarantees	guarantee
hermes	herm
heroes	hero
holmes	holm
inches	inch
james	james
jaws	jaw
jeans	jeans
kisses	kiss
knives	knife
lashes	lash
latches	latch
lens	lenses
lenses	lenses
les	les
lies	lie
lives	life
lighting	light
lightings	light
lights	light
mailboxes	mailbox
man	men
mattresses	mattress
maxes	max
memphis	memphis
mendes	mend
mirrors	mirror
misses	miss
mixes	mix
mice	mouse
movies	movie
mulches	mulch
oasis	oasis
padres	padr
patches	patch
people	person
philips	philips
polishes	polish
porches	porch
pouches	pouch
presses	press
princesses	princess
prints	print
punches	punch
recessed	recess
rotisseries	rotisserie
scotts	scotts
shelves	shelf
shoes	shoe
splashes	splash
squeegees	squeegee
superheroes	superhero
suspenders	suspenders
swatches	swatch
switches	switch
taladros	taladros
talkies	talkie
tennis	tennis
thieves	thief
ties	tie
toes	toe
teeth	tooth
torches	torch
tosses	toss
trees	tree
trellis	trellis
trousers	trousers
underpants	underpants
ups	ups
vhs	vhs
watches	watch
williams	williams
wishes	wish
wolves	wolf
woman	women
workbenches	workbench
wrenches	wrench
tablets	tablets
pants	pants
tvs	tvs
